playlist_id,name,followers,num_tracks,unique_artists,unique_albums,avg_track_duration_ms,avg_track_degree,avg_track_idf,collaborative,pagerank,clustering_coefficient,betweenness_centrality,closeness_centrality,track_diversity_hhi,track_diversity_entropy,track_playlist_freq_mean,track_playlist_freq_std,track_playlist_freq_range,rare_tracks_count,rare_tracks_ratio,common_tracks_count,common_tracks_ratio
pl_425,Phone,1,10,0,0,233957.9,1.0,6.907755278982137,0,0.00017533606078459467,0.0,0.0,0.0,0.10000000000000003,2.3025850929940455,1.0,0.0,0,10,1.0,0,0.0
pl_599,Sunny Days,1,15,0,0,241981.46666666667,2.6666666666666665,6.270769893765698,0,0.00017533606078459467,0.0,0.0,0.0,0.12250000000000001,2.357816032252398,2.6666666666666665,2.4404006956964173,7,12,0.8,0,0.0
pl_1773,Chill,2,129,0,0,252177.12403100776,4.3023255813953485,6.002231591211483,0,0.0009517144680044871,0.020647796348781482,4.0120280601242526e-06,1.860395730025875,0.019826312799285765,4.303188201426174,4.3023255813953485,5.369458060455357,27,102,0.7906976744186046,0,0.0
pl_10260,Party,1,152,0,0,224296.95394736843,8.539473684210526,5.321958806130944,0,0.0033684239334547776,0.05294846518062915,0.0015389470967293276,2.8320670608062617,0.01342114572377559,4.564400405594355,8.539473684210526,8.708647833700288,37,87,0.5723684210526315,0,0.0
pl_100402,Calming,1,41,0,0,239733.75609756098,7.073170731707317,5.412578482492568,0,0.0005463305492078328,0.029737148866714407,0.0013299873019311898,1.6406735382497666,0.04425683709869205,3.333236798526405,7.073170731707317,6.383630910774606,27,21,0.5121951219512195,0,0.0
pl_100717,rainy day,1,7,0,0,236434.0,2.2857142857142856,6.296802976265558,0,0.00017533606078459467,0.0,0.0,0.0,0.21875,1.7214023220140038,2.2857142857142856,1.6659862556700857,5,6,0.8571428571428571,0,0.0
pl_102814,turn up,1,51,0,0,231133.6274509804,10.803921568627452,5.016032397913918,0,0.0012898277746391073,0.0666680893012862,0.0,2.606148463854486,0.03685429231129014,3.5331009469530836,10.803921568627452,10.13249404646712,43,25,0.49019607843137253,0,0.0
pl_103182,MELLOW,1,215,0,0,248505.47441860466,7.162790697674419,5.488078622674675,0,0.005168191345015122,0.016928156783952562,0.022249704614434075,2.9048959198582343,0.009052960026986008,4.932387512064008,7.162790697674419,6.968134222127749,30,118,0.5488372093023256,0,0.0
pl_103814,Halloween,1,108,0,0,242135.37962962964,2.759259259259259,6.2524043318138105,1,0.0007546023223026636,0.03198269585595507,0.003261778812881017,1.6682606651014966,0.021237782081888184,4.270326552622899,2.759259259259259,3.1383835494016674,20,100,0.9259259259259259,0,0.0
pl_104540,bop,1,16,0,0,216484.5625,6.5,5.592337349232591,0,0.00027191075966213066,0.05392301245122367,0.0,1.580217437072953,0.1157544378698225,2.344017276805139,6.5,6.0,17,9,0.5625,0,0.0
