id,original_id,type,name,followers,num_artists,num_albums,collaborative
0,pl_425,playlist,Phone,1,7,10,false
1,pl_599,playlist,Sunny Days,1,15,15,false
2,pl_708,playlist,pop,3,38,42,false
3,pl_1139,playlist,Christmas ,1,7,9,false
4,pl_1206,playlist,wes,1,26,55,false
5,pl_1640,playlist,Soul/Blues,1,26,29,false
6,pl_1773,playlist,Chill,2,118,124,false
7,pl_10260,playlist,Party,1,72,101,false
8,pl_10593,playlist,Blessings,1,29,33,false
9,pl_10689,playlist,2014,2,118,154,false
10,pl_10805,playlist,Old,1,61,106,false
11,pl_10973,playlist,dance music,1,49,59,false
12,pl_100161,playlist,feeling good,1,20,23,false
13,pl_100402,playlist,Calming,1,29,37,false
14,pl_100642,playlist,Mondays,1,29,29,false
15,pl_100717,playlist,rainy day,1,5,7,false
16,pl_101666,playlist,Jesus Music,1,8,24,false
17,pl_102433,playlist,feels,1,22,25,false
18,pl_102447,playlist,ballin,1,69,74,false
19,pl_102506,playlist,Homework playlist,1,22,32,false
20,pl_102814,playlist,turn up,1,27,32,false
21,pl_103182,playlist,MELLOW,1,156,189,false
22,pl_103402,playlist,Main,1,50,55,false
23,pl_103693,playlist,hindi,1,30,51,false
24,pl_103814,playlist,Halloween,1,79,95,true
25,pl_103933,playlist,mix,1,77,107,false
26,pl_104096,playlist,list,1,57,68,false
27,pl_104161,playlist,Live,1,28,43,false
28,pl_104540,playlist,bop,1,14,16,false
29,pl_105060,playlist,cosmos,2,21,25,false
30,pl_105105,playlist,Party Party,1,36,49,false
31,pl_105203,playlist,sorry,1,21,22,false
32,pl_105454,playlist,Love Songs,2,73,103,false
33,pl_105491,playlist,Old Soul,1,152,215,false
34,pl_105574,playlist,Electro,1,8,18,false
35,pl_105886,playlist,Summer 2K17,2,21,19,false
36,pl_106585,playlist,tbt,2,56,78,false
37,pl_106717,playlist,Depressed,1,9,14,false
38,pl_106738,playlist,✨✨✨,2,7,13,false
39,pl_106767,playlist,Les mis,1,4,2,false
40,pl_106853,playlist,C o o l ,1,23,26,false
41,pl_106909,playlist,2017,1,48,50,false
42,pl_107048,playlist,nostalgia,1,14,18,false
43,pl_107139,playlist,Christmas :),1,43,51,false
44,pl_107644,playlist,Clean,1,22,26,false
45,pl_108060,playlist,aaa,1,35,36,false
46,pl_108991,playlist,Slow,1,61,64,false
47,pl_109038,playlist,Justin ,1,58,107,false
48,pl_109426,playlist,love songs,1,16,18,false
49,pl_109653,playlist,May 2015,4,10,10,false
50,pl_109861,playlist,warm up,5,71,78,false
51,pl_109940,playlist,Funky,4,32,38,false
52,pl_11266,playlist,Chillin',1,49,60,false
53,pl_110338,playlist,Hip-Hop/R&B,2,67,107,false
54,pl_110594,playlist,❤❤❤,1,8,8,false
55,pl_110768,playlist,Popular ,1,49,52,false
56,pl_110835,playlist,Brantley Gilbert ,1,47,59,false
57,pl_111474,playlist,GOOD COUNTRY ,2,47,79,false
58,pl_111582,playlist,Blues,1,5,7,false
59,pl_112078,playlist,Chill,1,27,42,false
60,pl_112093,playlist,muse,1,14,14,false
61,pl_112405,playlist,Sleep,1,20,20,false
62,pl_112418,playlist,80s,2,111,178,false
63,pl_112495,playlist,Hi,2,36,48,false
64,pl_112547,playlist,party party,3,129,163,false
65,pl_113007,playlist,Oldies but Goodies,1,48,65,false
66,pl_113031,playlist,chill rnb,1,35,38,false
67,pl_113072,playlist,Sunday Morning,1,12,19,false
68,pl_113233,playlist,lovely,1,14,20,false
69,pl_113445,playlist,Billy,1,39,42,false
70,pl_113538,playlist,tb,1,33,41,false
71,pl_113975,playlist,??,1,21,25,false
72,pl_114080,playlist,Road Trippin,1,10,10,false
73,pl_115116,playlist,EM,1,7,20,false
74,pl_115651,playlist,billy joel,1,4,16,false
75,pl_115857,playlist,gc,5,50,61,false
76,pl_115927,playlist,2017,1,40,60,false
77,pl_116324,playlist,Bittersweet,1,12,12,false
78,pl_116422,playlist,sleep,1,44,60,false
