id,original_id,type,name,followers,num_artists,num_albums,collaborative,degree_x,degree_centrality_nx,degree_y,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality,closeness_igraph,eigenvector_igraph,clustering_igraph
0,pl_425,playlist,Phone,1,7,10,False,0,0.0,0,3.2159507e-05,0.0,9.641e-42,0.013259167,,0.0,0.0
1,pl_599,playlist,Sunny Days,1,15,15,False,3,0.0006001200240048,6,3.6309404e-05,0.0,4.581104e-05,0.013275002,0.3228917358862452,0.0007349925516751,0.6666666666666666
2,pl_708,playlist,pop,3,38,42,False,219,0.0438087617523504,438,0.00024869147,3.329628088977188e-05,0.014698376,0.0145638045,0.4553757569740891,0.2358791055426574,0.5846005613505928
3,pl_1139,playlist,Christmas ,1,7,9,False,5,0.001000200040008,10,5.337726e-05,0.0,1.960836e-06,0.013284067,0.2643194652529676,3.146313749907857e-05,1.0
4,pl_1206,playlist,wes,1,26,55,False,84,0.0168033606721344,168,0.00013705695,5.2070907258894295e-05,0.0018697793,0.013716744,0.4068653539116551,0.030001070520875,0.5834767641996558
5,pl_1640,playlist,Soul/Blues,1,26,29,False,0,0.0,0,3.2159507e-05,0.0,9.641e-42,0.013259167,,0.0,0.0
6,pl_1773,playlist,Chill,2,118,124,False,206,0.0412082416483296,412,0.00028137985,0.0003146787930745,0.008341803,0.014439137,0.4590213149204443,0.1338478342395467,0.333838503433578
7,pl_10260,playlist,Party,1,72,101,False,621,0.1242248449689938,1242,0.00060776947,0.0003432435623835,0.0435014,0.016883582,0.481827731092437,0.6982471184421767,0.4167523764999221
8,pl_10593,playlist,Blessings,1,29,33,False,58,0.0116023204640928,116,8.370326e-05,3.689619347824191e-07,0.0046657147,0.013606046,0.3814553014553014,0.0748969361128678,0.8336358136721113
9,pl_10689,playlist,2014,2,118,154,False,417,0.0834166833366673,834,0.0005078853,0.0014131818898022,0.02321255,0.015664298,0.4782608695652174,0.3725361751135514,0.2966242390702822
10,pl_10805,playlist,Old,1,61,106,False,403,0.0806161232246449,806,0.000555655,0.0007407540106214,0.009283518,0.015452946,0.4668227152452676,0.1489320496837564,0.3353456044837845
11,pl_10973,playlist,dance music,1,49,59,False,228,0.0456091218243648,456,0.00026667715,0.0001614442880963,0.011568462,0.0145759,0.4529475659129061,0.1856349471417397,0.4284334183476311
12,pl_100161,playlist,feeling good,1,20,23,False,73,0.0146029205841168,146,0.000104626946,1.0407194395156694e-06,0.0056246514,0.013712182,0.4310685085988159,0.0902629639236471,0.710806697108067
13,pl_100402,playlist,Calming,1,29,37,False,74,0.0148029605921184,148,0.00012629607,4.584655107464641e-05,0.0027583486,0.013672266,0.4261031119368323,0.04426568328461,0.3661606812291744
14,pl_100642,playlist,Mondays,1,29,29,False,54,0.0108021604320864,108,9.731005e-05,2.044745770035661e-06,0.0013856717,0.013556806,0.3963193364437532,0.022229463019954,0.6988120195667366
15,pl_100717,playlist,rainy day,1,5,7,False,0,0.0,0,3.2159507e-05,0.0,9.641e-42,0.013259167,,0.0,0.0
16,pl_101666,playlist,Jesus Music,1,8,24,False,33,0.0066013202640528,66,0.00021096968,3.047097834496526e-06,4.6712344e-06,0.013422938,0.2830433172898926,7.4935679564716e-05,0.7083333333333334
17,pl_102433,playlist,feels,1,22,25,False,125,0.0250050010002,250,0.00016015075,4.5993318053660914e-05,0.00797149,0.013995976,0.435860889395667,0.1279449744641569,0.4700645161290322
18,pl_102447,playlist,ballin,1,69,74,False,446,0.0892178435687137,892,0.00043756614,0.0001850674307206,0.034895495,0.015931938,0.4752382925818483,0.5600930199404924,0.4955711190608152
19,pl_102506,playlist,Homework playlist,1,22,32,False,248,0.0496099219843968,496,0.00028017868,5.292122659739107e-05,0.016354883,0.014742213,0.4630994447248864,0.2624528665690167,0.5487788951286405
20,pl_102814,playlist,turn up,1,27,32,False,282,0.0564112822564512,564,0.0002876336,6.528644735226408e-05,0.023550898,0.014958007,0.446553738317757,0.3780203604124013,0.644456222710179
21,pl_103182,playlist,MELLOW,1,156,189,False,881,0.1762352470494098,1762,0.0010977752,0.0056781568564474,0.03568099,0.018171811,0.5217836423615061,0.5725819610608113,0.1958286038592508
22,pl_103402,playlist,Main,1,50,55,False,118,0.0236047209441888,236,0.00019336816,9.91092892945744e-05,0.0039501893,0.013916375,0.4365245527217358,0.0633860989774992,0.4070693901202376
23,pl_103693,playlist,hindi,1,30,51,False,6,0.0012002400480096,12,0.00015514466,0.0001298004935961,3.1551613e-06,0.013288542,0.2840071822178193,5.061542679740423e-05,0.6
24,pl_103814,playlist,Halloween,1,79,95,True,78,0.0156031206241248,156,0.00016554543,0.0005352317239157,0.0021376137,0.013690751,0.4187129164764948,0.0342946552577458,0.3996003996003996
25,pl_103933,playlist,mix,1,77,107,False,842,0.1684336867373474,1684,0.0008201415,0.0011405011173337,0.054387566,0.018117942,0.5001090274749237,0.8729783802964354,0.3397154727575192
26,pl_104096,playlist,list,1,57,68,False,321,0.0642128425685137,642,0.000346911,0.000101052064565,0.021506263,0.01516459,0.4685393258426966,0.3451484207056488,0.4660825545171339
27,pl_104161,playlist,Live,1,28,43,False,199,0.0398079615923184,398,0.0002066915,3.0786304705543444e-05,0.01685914,0.014454663,0.4191337719298245,0.2706293985399588,0.7641744073904877
28,pl_104540,playlist,bop,1,14,16,False,52,0.0104020804160832,104,8.397742e-05,7.049429200378654e-07,0.00349346,0.013567929,0.4037496699234222,0.0560678214196964,0.830316742081448
29,pl_105060,playlist,cosmos,2,21,25,False,0,0.0,0,3.2159507e-05,0.0,9.641e-42,0.013259167,,0.0,0.0
30,pl_105105,playlist,Party Party,1,36,49,False,121,0.0242048409681936,242,0.00018167456,0.0001132053657784,0.004900557,0.013955879,0.4471631897055956,0.0786301722994564,0.4053719008264462
31,pl_105203,playlist,sorry,1,21,22,False,30,0.006001200240048,60,6.6628294e-05,1.4722733112648712e-06,0.0016880397,0.013436291,0.4033946002990062,0.0270882685630231,0.6114942528735633
32,pl_105454,playlist,Love Songs,2,73,103,False,437,0.0874174834966993,874,0.00054236356,0.0007115843473002,0.015613082,0.015706059,0.4792602653850172,0.2505098361276227,0.2875422501207146
33,pl_105491,playlist,Old Soul,1,152,215,False,429,0.0858171634326865,858,0.0006749375,0.0026437076739966,0.009020312,0.015573219,0.463380139408021,0.144710662489786,0.2790340500620874
34,pl_105574,playlist,Electro,1,8,18,False,8,0.0016003200640128,16,6.594393e-05,2.240717321910779e-06,2.5473377e-05,0.013299039,0.3129776200873362,0.0004087260511977,0.3928571428571428
35,pl_105886,playlist,Summer 2K17,2,21,19,False,53,0.0106021204240848,106,0.00010112046,4.478138725971803e-05,0.0035878413,0.01357003,0.3995644599303136,0.0575901527406826,0.579100145137881
36,pl_106585,playlist,tbt,2,56,78,False,403,0.0806161232246449,806,0.00042961733,0.0002042151463683,0.023232331,0.015584715,0.4662533035169749,0.3728456487237115,0.411923015196968
37,pl_106717,playlist,Depressed,1,9,14,False,1,0.0002000400080016,2,3.5465815e-05,0.0,1.4741727e-06,0.013264105,0.275148461400036,2.3647447978557698e-05,0.0
38,pl_106738,playlist,✨✨✨,2,7,13,False,12,0.0024004800960192,24,0.00010023005,2.256624611618463e-07,2.3766784e-06,0.013318813,0.2837787676317743,3.81244377697652e-05,0.7878787878787878
39,pl_106767,playlist,Les mis,1,4,2,False,3,0.0006001200240048,6,6.744135e-05,0.0,5.8385194e-07,0.0132738715,0.2691585494660251,9.36762330697464e-06,1.0
40,pl_106853,playlist,C o o l ,1,23,26,False,208,0.0416083216643328,416,0.00022663463,3.930055754608475e-05,0.016894374,0.014527679,0.4534849233811172,0.2711498528860055,0.627136752136752
41,pl_106909,playlist,2017,1,48,50,False,3,0.0006001200240048,6,4.156068e-05,0.0,0.00010629589,0.013275909,0.3353560462055856,0.0017057262754002,1.0
42,pl_107048,playlist,nostalgia,1,14,18,False,0,0.0,0,3.2159507e-05,0.0,9.641e-42,0.013259167,,0.0,0.0
43,pl_107139,playlist,Christmas :),1,43,51,False,69,0.0138027605521104,138,0.0003199362,0.0006060773739591,0.00011412142,0.013603258,0.3418797048520534,0.0018312352240155,0.6381074168797953
44,pl_107644,playlist,Clean,1,22,26,False,140,0.028005601120224,280,0.00018984705,4.612640259438194e-05,0.007340474,0.014086613,0.4498823067869753,0.1177835740099098,0.5027749229188078
45,pl_108060,playlist,aaa,1,35,36,False,31,0.0062012402480496,62,7.41325e-05,4.959853754371579e-07,0.0007489433,0.013428135,0.3935649935649936,0.0120166913270456,0.6
46,pl_108991,playlist,Slow,1,61,64,False,16,0.0032006401280256,32,5.0471936e-05,1.9925390404296198e-07,0.00079645944,0.013352618,0.3903497574674496,0.0127805295109711,0.6166666666666667
47,pl_109038,playlist,Justin ,1,58,107,False,118,0.0236047209441888,236,0.0001903619,0.0003218456404283,0.0036056766,0.013907847,0.4303405572755417,0.0578546716962263,0.354918151528321
48,pl_109426,playlist,love songs,1,16,18,False,22,0.0044008801760352,44,5.4679298e-05,9.332209742751728e-07,0.0014089381,0.01338736,0.3695021749637506,0.0226126045964956,0.7792207792207793
49,pl_109653,playlist,May 2015,4,10,10,False,0,0.0,0,3.2159507e-05,0.0,9.641e-42,0.013259167,,0.0,0.0
50,pl_109861,playlist,warm up,5,71,78,False,115,0.023004600920184,230,0.00015017972,1.4718981219630224e-05,0.008144013,0.013947949,0.4305021116846551,0.1307010788553858,0.7043478260869565
51,pl_109940,playlist,Funky,4,32,38,False,96,0.0192038407681536,192,0.00014084428,3.4093645808752626e-05,0.0045651644,0.013815236,0.4329809326033604,0.0732536624223481,0.4649122807017544
52,pl_11266,playlist,Chillin',1,49,60,False,9,0.0018003600720144,18,7.353717e-05,3.6386188639880856e-06,4.5201134e-05,0.013304201,0.3216690042075736,0.0007253508836113,0.3333333333333333
