playlist_id,name,followers,num_tracks,num_artists,num_albums,collaborative,duration_ms,avg_duration_per_track,degree,artist_popularity_mean,artist_popularity_median,artist_popularity_std,artist_popularity_max,artist_popularity_min,artist_popularity_range,artist_diversity_hhi,num_similar_playlists,avg_jaccard_similarity,max_jaccard_similarity,connectivity
p_101884,yo,1,54,38,44,False,12511417,231692.90740740742,38,540.8684210526316,460.5,444.0276290036011,2003,2,2001,0.044051685771879526,4799,0.0544069156327559,0.2786885245901639,20515
p_102150,Vibez,1,181,82,105,False,41974581,231903.7624309392,82,147.46341463414635,29.0,322.0315919634075,2003,1,2002,0.07035380092354034,4267,0.02190326524150861,0.14782608695652175,12010
p_439,housewarming,2,174,77,116,False,42572851,244671.55747126436,77,385.1038961038961,246.0,403.3587100161088,2003,16,1987,0.027234436325617586,4739,0.05304948229255815,0.3135593220338983,29576
p_104651,Well,1,161,66,105,False,39151351,243176.09316770185,66,105.42424242424242,56.0,119.81716634814397,496,1,495,0.03472252229758463,2216,0.0280366790383407,0.19318181818181818,6892
p_105537,All Music,1,147,42,73,False,28163897,191591.13605442178,42,81.83333333333333,23.5,139.24266530510624,609,1,608,0.09274374630120506,2268,0.01697475027534576,0.3,3395
p_1620,Christian Music,1,50,9,16,False,12835422,256708.44,9,29.11111111111111,20.0,25.357201232016667,85,1,84,0.19541402016199522,178,0.039654066607563494,0.2,253
p_102180,Worship,1,16,13,14,False,5955288,372205.5,13,44.76923076923077,40.0,42.65271899738424,176,1,175,0.1467448424085686,219,0.06480295531848429,0.29411764705882354,569
p_100082,The Usual,1,121,57,81,False,28189511,232971.1652892562,57,146.0,100.0,166.01490104331313,1072,1,1071,0.04022754291185688,3445,0.02271044520216411,0.23958333333333334,8265
p_104137,Ayo,1,64,43,57,False,14883660,232557.1875,43,480.86046511627904,370.0,439.72039643578523,2003,1,2002,0.04270254562369307,4439,0.05453612171350451,0.2753623188405797,20634
p_10077,don omar,1,31,5,7,False,7463637,240762.48387096773,5,48.2,2.0,75.79287565464183,197,1,196,0.6945300528572166,231,0.0223317466971664,0.1,236
