feature,spearman_rho,kendall_tau
degree_x,0.12420370621657258,0.09846891709166025
degree_centrality_nx,0.12420370621657258,0.09846891709166025
degree_y,0.12420370621657258,0.09846891709166025
pagerank,0.14566546802289138,0.11543086588930618
betweenness_centrality,0.15568419163110056,0.12410191930444202
eigenvector_centrality,0.10242300347583862,0.08108592421767716
katz_centrality,0.12218581900789632,0.09677998689418763
closeness_igraph,0.10496497498595297,0.08300189844439208
eigenvector_igraph,0.10242859549521592,0.08109602969635893
clustering_igraph,-0.10563947370688842,-0.08398684335720968
