original_id,degree,degree_centrality_nx
pl_516,1065,0.21304260852170434
pl_765,128,0.02560512102420484
pl_924,1230,0.2460492098419684
pl_1393,3,0.000600120024004801
pl_1494,744,0.14882976595319064
pl_1721,2,0.00040008001600320064
pl_1767,1212,0.24244848969793958
pl_1824,1430,0.28605721144228846
pl_1899,312,0.0624124824964993
pl_1923,585,0.1170234046809362
pl_10241,1283,0.2566513302660532
pl_10799,382,0.07641528305661133
pl_100013,42,0.008401680336067214
pl_100115,1502,0.3004600920184037
pl_100286,594,0.11882376475295059
pl_100432,61,0.01220244048809762
pl_100628,8,0.0016003200640128026
pl_100819,1,0.00020004000800160032
pl_100860,468,0.09361872374474894
pl_101023,17,0.0034006801360272057
pl_101516,525,0.10502100420084017
pl_103010,360,0.07201440288057612
pl_103204,28,0.005601120224044809
pl_103299,3,0.000600120024004801
pl_103468,458,0.09161832366473295
pl_103675,99,0.01980396079215843
pl_104076,371,0.07421484296859372
pl_104481,1334,0.26685337067413484
pl_104593,2017,0.4034806961392278
pl_104722,324,0.06481296259251851
pl_104892,1119,0.22384476895379077
pl_104970,0,0.0
pl_105485,72,0.014402880576115223
pl_105714,205,0.04100820164032806
pl_105828,1646,0.3292658531706341
pl_105881,474,0.09481896379275855
pl_105987,82,0.016403280656131225
pl_106160,1355,0.2710542108421684
pl_106256,461,0.09221844368873774
pl_106284,153,0.03060612122424485
pl_106715,1750,0.3500700140028006
pl_107106,35,0.007001400280056011
pl_107244,67,0.013402680536107221
pl_107374,275,0.05501100220044009
pl_107482,97,0.019403880776155232
pl_107488,384,0.07681536307261452
pl_107603,6,0.001200240048009602
pl_107755,403,0.08061612322464493
pl_107851,81,0.016203240648129627
pl_108499,212,0.04240848169633927
pl_108693,1815,0.36307261452290457
pl_109819,672,0.13442688537707542
pl_109920,310,0.0620124024804961
pl_109953,34,0.006801360272054411
pl_11001,960,0.1920384076815363
pl_11468,874,0.17483496699339868
pl_11486,13,0.0026005201040208044
pl_11676,882,0.1764352870574115
pl_11743,435,0.08701740348069614
pl_11859,1090,0.21804360872174436
pl_11973,701,0.14022804560912183
pl_110293,1440,0.28805761152230447
pl_110986,331,0.06621324264852971
pl_111001,60,0.012002400480096018
pl_111341,14,0.0028005601120224045
pl_111437,36,0.0072014402880576115
pl_111572,1828,0.3656731346269254
pl_112095,1508,0.3016603320664133
pl_112163,38,0.007601520304060812
pl_112615,466,0.09321864372874575
pl_113082,942,0.1884376875375075
pl_113131,530,0.10602120424084817
pl_113247,118,0.023604720944188837
pl_113585,258,0.051610322064412885
pl_113618,937,0.1874374874974995
pl_113805,957,0.19143828765753151
pl_114180,693,0.13862772554510902
pl_114223,1112,0.22244448889777957
pl_114345,857,0.17143428685737147
pl_114648,595,0.11902380476095219
pl_114767,69,0.013802760552110422
pl_115818,537,0.10742148429685937
pl_116376,1313,0.2626525305061012
pl_116710,569,0.11382276455291059
pl_116823,745,0.14902980596119225
pl_117513,765,0.15303060612122424
pl_117703,491,0.09821964392878575
pl_117710,114,0.022804560912182435
pl_118032,132,0.026405281056211243
pl_118220,215,0.04300860172034407
pl_118504,550,0.11002200440088018
pl_118510,1422,0.2844568913782757
pl_118714,2132,0.4264852970594119
pl_119136,1459,0.29185837167433487
pl_119462,664,0.1328265653130626
pl_12020,1313,0.2626525305061012
pl_12120,973,0.1946389277855571
pl_12338,5,0.0010002000400080016
pl_12367,1708,0.3416683336667333
pl_120092,1522,0.3044608921784357
pl_120374,1565,0.3130626125225045
pl_120952,669,0.13382676535307061
pl_121616,346,0.0692138427685537
pl_121902,237,0.04740948189637927
pl_122478,5,0.0010002000400080016
pl_122641,1,0.00020004000800160032
pl_123020,833,0.16663332666533306
pl_123274,380,0.07601520304060812
pl_123373,302,0.0604120824164833
pl_123998,793,0.15863172634526906
pl_124145,782,0.15643128625725145
pl_124186,48,0.009601920384076815
pl_124191,629,0.12582516503300661
pl_124210,849,0.16983396679335866
pl_124220,1308,0.2616523304660932
pl_124414,698,0.13962792558511702
pl_124550,948,0.1896379275855171
pl_124759,171,0.034206841368273656
pl_124987,1693,0.3386677335467093
pl_125209,922,0.1844368873774755
pl_125224,601,0.12022404480896179
pl_125360,1209,0.24184836967393478
pl_125543,15,0.0030006001200240046
pl_126024,43,0.008601720344068814
pl_126283,1507,0.3014602920584117
pl_126738,565,0.11302260452090418
pl_126769,562,0.11242248449689939
pl_126855,10,0.002000400080016003
pl_127307,1792,0.3584716943388678
pl_127339,710,0.14202840568113623
pl_127368,364,0.07281456291258252
pl_127539,1113,0.22264452890578115
pl_127681,442,0.08841768353670734
pl_127959,420,0.08401680336067213
pl_128452,408,0.08161632326465293
pl_128635,78,0.015603120624124825
pl_128852,922,0.1844368873774755
pl_129476,1261,0.252250450090018
pl_129780,781,0.15623124624924986
pl_129844,65,0.01300260052010402
pl_13197,553,0.11062212442488498
pl_13312,98,0.01960392078415683
pl_13410,1029,0.20584116823364673
pl_13421,5,0.0010002000400080016
pl_13479,179,0.03580716143228646
pl_13683,973,0.1946389277855571
pl_13931,35,0.007001400280056011
pl_130129,1575,0.3150630126025205
pl_130199,825,0.16503300660132025
pl_130533,929,0.1858371674334867
pl_130721,11,0.0022004400880176033
pl_130741,566,0.11322264452890578
pl_130866,0,0.0
pl_131139,1180,0.23604720944188837
pl_131277,173,0.03460692138427685
pl_131384,537,0.10742148429685937
pl_131707,319,0.0638127625525105
pl_131737,735,0.14702940588117624
pl_131972,499,0.09981996399279856
pl_132024,108,0.021604320864172834
pl_132236,1259,0.2518503700740148
pl_132354,1567,0.3134626925385077
pl_133129,424,0.08481696339267854
pl_133139,92,0.01840368073614723
pl_133293,88,0.017603520704140826
pl_133646,118,0.023604720944188837
pl_134004,525,0.10502100420084017
pl_134597,907,0.18143628725745148
pl_134813,24,0.004800960192038408
pl_135160,1627,0.3254650930186037
pl_135233,339,0.0678135627125425
pl_135456,13,0.0026005201040208044
pl_135462,1110,0.22204440888177635
pl_135534,72,0.014402880576115223
pl_135682,1021,0.20424084816963392
pl_135805,1636,0.3272654530906181
pl_136047,77,0.015403080616123225
pl_136158,0,0.0
pl_136659,377,0.07541508301660332
pl_136848,3,0.000600120024004801
pl_137029,94,0.01880376075215043
pl_137236,495,0.09901980396079216
pl_137267,1669,0.3338667733546709
pl_137642,389,0.07781556311262253
pl_137704,163,0.03260652130426085
pl_137794,70,0.014002800560112022
pl_138004,817,0.16343268653730747
pl_138401,822,0.16443288657731547
pl_138545,787,0.15743148629725945
pl_139167,1851,0.3702740548109622
pl_139189,1519,0.3038607721544309
pl_139307,951,0.1902380476095219
pl_139668,1374,0.27485497099419887
pl_139726,114,0.022804560912182435
pl_14481,15,0.0030006001200240046
pl_14506,1675,0.3350670134026805
pl_140112,17,0.0034006801360272057
pl_140381,256,0.05121024204840968
pl_140409,458,0.09161832366473295
pl_140894,956,0.1912382476495299
pl_141007,89,0.017803560712142428
pl_141341,175,0.035007001400280055
pl_141597,744,0.14882976595319064
pl_142015,462,0.09241848369673934
pl_142047,652,0.1304260852170434
pl_142101,648,0.12962592518503702
pl_142244,0,0.0
pl_142350,1887,0.3774754950990198
pl_142478,931,0.1862372474494899
pl_142554,11,0.0022004400880176033
pl_142747,44,0.008801760352070413
pl_142795,1022,0.20444088817763553
pl_142826,367,0.07341468293658732
pl_142830,1453,0.29065813162632526
pl_142902,1838,0.36767353470694136
pl_143281,384,0.07681536307261452
pl_143367,482,0.09641928385677136
pl_144159,1099,0.21984396879375875
pl_144162,745,0.14902980596119225
pl_144361,1173,0.23464692938587717
pl_144369,97,0.019403880776155232
pl_144622,116,0.023204640928185638
pl_144684,13,0.0026005201040208044
pl_144778,1098,0.21964392878575714
pl_144863,378,0.07561512302460492
pl_145067,222,0.04440888177635527
pl_145711,45,0.009001800360072015
pl_146103,624,0.1248249649929986
pl_146364,1129,0.22584516903380678
pl_147069,1161,0.23224644928985796
pl_147119,255,0.051010202040408084
pl_147415,1187,0.2374474894978996
pl_147741,783,0.15663132626525306
pl_147834,91,0.01820364072814563
pl_148156,900,0.18003600720144028
pl_148878,430,0.08601720344068814
pl_149057,1626,0.3252650530106021
pl_149479,1332,0.2664532906581316
pl_149949,257,0.05141028205641128
pl_15121,842,0.16843368673734746
pl_15415,591,0.1182236447289458
pl_15650,553,0.11062212442488498
pl_15667,189,0.03780756151230246
pl_150022,29,0.0058011602320464095
pl_150074,144,0.028805761152230446
pl_150204,574,0.11482296459291859
pl_150265,679,0.13582716543308662
pl_150671,587,0.11742348469693939
pl_150687,626,0.1252250450090018
pl_150702,86,0.017203440688137627
pl_150950,1718,0.34366873374674933
pl_150956,997,0.19943988797759551
pl_151423,389,0.07781556311262253
pl_151676,319,0.0638127625525105
pl_151683,1071,0.21424284856971396
pl_151944,1897,0.3794758951790358
pl_151952,118,0.023604720944188837
pl_152071,589,0.11782356471294259
pl_152120,27,0.0054010802160432084
pl_152124,944,0.1888377675535107
pl_152776,382,0.07641528305661133
pl_153506,1301,0.26025205041008204
pl_153536,1382,0.27645529105821165
pl_153544,407,0.08141628325665133
pl_153721,60,0.012002400480096018
pl_153737,381,0.07621524304860972
pl_153757,297,0.059411882376475295
pl_154138,1638,0.32766553310662133
pl_154176,416,0.08321664332866574
pl_154301,111,0.022204440888177635
pl_154429,824,0.16483296659331867
pl_154640,24,0.004800960192038408
pl_154666,842,0.16843368673734746
pl_154789,932,0.1864372874574915
pl_155271,1031,0.20624124824964993
pl_155332,2096,0.41928385677135427
pl_155425,1490,0.2980596119223845
pl_155697,502,0.10042008401680336
pl_155838,949,0.1898379675935187
pl_156067,2061,0.41228245649129824
pl_156363,350,0.07001400280056011
pl_156499,970,0.1940388077615523
pl_156638,252,0.05041008201640328
pl_157019,32,0.00640128025605121
pl_157112,232,0.046409281856371276
pl_157280,1313,0.2626525305061012
pl_157291,739,0.14782956591318264
pl_158181,119,0.02380476095219044
pl_158186,517,0.10342068413682737
pl_158188,62,0.01240248049609922
pl_158333,1010,0.20204040808161633
pl_158424,764,0.15283056611322265
pl_158633,3,0.000600120024004801
pl_158686,1688,0.33766753350670137
pl_158906,364,0.07281456291258252
pl_159077,154,0.03080616123224645
pl_159123,1465,0.2930586117223445
pl_159283,59,0.011802360472094419
pl_159354,805,0.16103220644128827
pl_159658,242,0.048409681936387276
pl_159783,89,0.017803560712142428
pl_16404,1570,0.3140628125625125
pl_16545,1111,0.22224444888977796
pl_16854,660,0.13202640528105622
pl_160032,155,0.03100620124024805
pl_160101,625,0.1250250050010002
pl_160405,721,0.14422884576915382
pl_161116,82,0.016403280656131225
pl_161150,344,0.06881376275255051
pl_161152,21,0.004200840168033607
pl_161281,980,0.1960392078415683
pl_161596,629,0.12582516503300661
pl_161686,15,0.0030006001200240046
pl_162015,1000,0.20004000800160032
pl_162288,220,0.04400880176035207
pl_162815,295,0.05901180236047209
pl_162837,1809,0.36187237447489495
pl_162872,168,0.033606721344268856
pl_162916,1680,0.33606721344268853
pl_163460,859,0.17183436687337467
pl_163557,193,0.03860772154430886
pl_163846,31,0.00620124024804961
pl_163910,387,0.07741548309661933
pl_163919,80,0.016003200640128026
pl_164359,179,0.03580716143228646
pl_164595,853,0.17063412682536508
pl_164847,684,0.13682736547309463
pl_165291,279,0.05581116223244649
pl_165547,465,0.09301860372074415
pl_165776,555,0.11102220444088817
pl_165878,55,0.011002200440088018
pl_165966,166,0.03320664132826565
pl_166186,320,0.0640128025605121
pl_166558,246,0.04920984196839368
pl_166767,74,0.014802960592118424
pl_167738,2526,0.5053010602120425
pl_167827,365,0.07301460292058412
pl_167829,1165,0.23304660932186438
pl_167830,212,0.04240848169633927
pl_167842,243,0.04860972194438888
pl_167913,776,0.15523104620924186
pl_168051,992,0.1984396879375875
pl_168195,11,0.0022004400880176033
pl_168281,1471,0.29425885177035405
pl_168477,46,0.009201840368073614
pl_169150,1015,0.20304060812162433
pl_169321,177,0.03540708141628326
pl_169328,1117,0.22344468893778754
pl_169429,15,0.0030006001200240046
pl_169511,1146,0.22924584916983395
pl_169821,66,0.013202640528105622
pl_169847,1281,0.25625125025005
pl_169929,951,0.1902380476095219
pl_17115,54,0.010802160432086417
pl_17312,618,0.123624724944989
pl_17391,311,0.0622124424884977
pl_17411,1742,0.34846969393878774
