id,original_id,type,name,followers,num_artists,num_albums,collaborative,degree_x,degree_centrality_nx,degree_y,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality,closeness_igraph,eigenvector_igraph,clustering_igraph
0,pl_516,playlist,smooth jams,13,140,171,False,1065,0.2130426085217043,2130,0.0003097946,0.0004470323910936,0.017383143,0.0152380215,0.5502392344497608,0.434934343914158,0.430145787002718
1,pl_765,playlist,Tangled,1038,59,37,False,128,0.0256051210242048,256,7.811513e-05,2.167591082979925e-05,0.0015271688,0.012544958,0.4819688109161793,0.038207754911345,0.4724409448818897
2,pl_924,playlist,mine,1,40,56,False,1230,0.2460492098419684,2460,0.0003533206,0.0004326214839238,0.019468246,0.015703032,0.5612302803314039,0.4870919298831567,0.392792077635992
3,pl_1393,playlist,Class,1,23,47,False,3,0.0006001200240048,6,3.3525885e-05,0.0,4.418114e-06,0.012203596,0.3374965874965875,0.0001105184062267,0.3333333333333333
4,pl_1494,playlist,2015,1,17,27,False,744,0.1488297659531906,1488,0.00020703304,4.00116405216977e-05,0.013875488,0.014369399,0.525728258558367,0.3471958130980256,0.6161521874412076
5,pl_1721,playlist,DUB,1,9,13,False,2,0.0004000800160032,4,3.1597592e-05,0.0,4.097958e-06,0.012201256,0.3365090166723375,0.0001025195376522,0.0
6,pl_1767,playlist,Good Music,15,144,172,False,1212,0.2424484896979395,2424,0.00035960204,0.0010987820569425,0.019026216,0.015643407,0.5617403158014314,0.4760394154487909,0.3789097737189078
7,pl_1824,playlist,getting ready,10,106,138,False,1430,0.2860572114422884,2860,0.00038422632,0.0003686165146064,0.02496791,0.016319068,0.5740654748084514,0.6247363074373302,0.4590250896758944
8,pl_1899,playlist,Classics,1,7,21,False,312,0.0624124824964993,624,0.00011159954,1.6870935724000446e-05,0.0046754833,0.013085794,0.4986889874949576,0.1169741497322839,0.5884862725698738
9,pl_1923,playlist,Childhood Jams,23,51,64,False,585,0.1170234046809362,1170,0.00018156592,5.106449680170044e-05,0.010560408,0.013908537,0.5189421765137999,0.2642154802145088,0.576624517035476
10,pl_10241,playlist,CAR,1,49,71,False,1283,0.2566513302660532,2566,0.00033784186,0.000167001329828,0.023246475,0.015922828,0.5632118451025057,0.5816719102454735,0.5117855844397454
11,pl_10799,playlist,Bryson Tiller,11,9,10,False,382,0.0764152830566113,764,0.00012012516,5.521081675396999e-06,0.007343182,0.013320728,0.4994445005554994,0.1837437142923766,0.7396490360170948
12,pl_100013,playlist,becky g,10,4,10,False,42,0.0084016803360672,84,4.0596184e-05,1.2888408207345492e-07,0.00089490035,0.012324456,0.4654117647058823,0.0223904750162655,0.8199767711962834
13,pl_100115,playlist,Get Lucky,1,132,144,False,1502,0.3004600920184037,3004,0.00042048673,0.0006555095314979,0.024565434,0.016494773,0.5825185534220756,0.6146294306417919,0.3996953650961498
14,pl_100286,playlist,Slow Jamz,1,71,102,False,594,0.1188237647529505,1188,0.0001841918,8.430208981735632e-05,0.009839938,0.013902046,0.5204715293127039,0.2461960304161232,0.4715791983920146
15,pl_100432,playlist,Writing Music,823,59,74,False,61,0.0122024404880976,122,5.6310342e-05,3.694070983328857e-06,0.00060385285,0.012357839,0.4579975919236825,0.0151089710332713,0.4546448087431693
16,pl_100628,playlist,the hills,1,5,5,False,8,0.0016003200640128,16,3.2316504e-05,0.0,0.00012778916,0.012219598,0.4247187151077901,0.0031971528087162,0.9642857142857144
17,pl_100819,playlist,Dance!,74,8,6,False,1,0.0002000400080016,2,3.0495165e-05,0.0,2.5947957e-05,0.012199683,0.3718324686066621,0.0006492787381182,0.0
18,pl_100860,playlist,🔥🔥,2,10,10,False,468,0.0936187237447489,936,0.00013801985,2.927114564954536e-06,0.009710211,0.013594188,0.5022854240731336,0.2429775252289268,0.8524954702684896
19,pl_101023,playlist,Latin,21,21,33,False,17,0.0034006801360272,34,4.4933735e-05,8.573740160500165e-06,0.00011666005,0.012239661,0.4257425742574257,0.0029186844839222,0.3014705882352941
