degree,id,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality
508,568,0.000102498656,1.0138130164705217e-05,0.0032115637,0.012897256
34,569,3.8085836e-05,6.358951054608042e-07,0.00014592193,0.012240675
776,570,0.00012791202,8.193963367375545e-06,0.006832276,0.013332325
382,571,9.611095e-05,4.7711255319882184e-05,0.0025352722,0.012722756
1884,572,0.00026975136,0.00020558242977131158,0.01546596,0.014906117
372,573,8.104033e-05,1.01310424724943e-05,0.0025264607,0.0127165895
10,575,9.171457e-05,0.00019946700194850564,2.5575212e-06,0.012208049
64,1072,5.841132e-05,4.401096703077201e-06,0.0001309154,0.012275098
1948,1073,0.0002824079,0.00021859840489923954,0.016632717,0.015011059
194,1074,0.00010608069,4.7030865971464664e-05,0.00046986275,0.012436915
2604,1075,0.00035732705,0.00026977015659213066,0.021901203,0.015946671
222,1076,8.7737375e-05,3.8264050090219826e-05,0.0008513042,0.012482271
1024,1077,0.00016355998,7.900179480202496e-05,0.008768082,0.01367155
2284,1078,0.00030173743,9.881894220598042e-05,0.02136972,0.015539223
26,1079,3.556799e-05,2.3158706596859702e-07,0.00010057939,0.012229814
34,574,3.5320965e-05,6.896855087035192e-09,0.00017271393,0.012241768
226,2384,0.00012281201,5.976859392831102e-05,0.0004687798,0.012474213
634,2385,0.00011975669,4.691751746577211e-05,0.0040317527,0.013074103
36,2386,3.532113e-05,1.503164881455632e-08,0.00025364192,0.012246083
3696,2387,0.00048467107,0.0008143993909470737,0.032285903,0.017534353
6,2388,3.3525885e-05,3.042886831394753e-08,4.4181133e-06,0.012203596
20,2389,4.8356687e-05,3.061044117202982e-05,0.00011063712,0.012223377
1152,2390,0.00018822655,9.018063428811729e-05,0.0076810378,0.013802889
1924,2391,0.00026971003,9.931567183230072e-05,0.017576149,0.015001708
1320,2392,0.00020018654,9.567552478983998e-05,0.011086366,0.014091459
1580,2393,0.0002448524,0.00012975432036910206,0.010927957,0.014412446
2608,2394,0.00036369028,0.0004404641513247043,0.021673655,0.015936432
2922,2395,0.00039350643,0.0003077831061091274,0.02507,0.016413871
3030,2396,0.00041106422,0.000636529119219631,0.025897654,0.016549023
28,2397,7.552772e-05,3.5278821997053456e-07,3.674192e-06,0.012228702
726,2398,0.00013215753,2.8030774046783336e-05,0.0051885163,0.0132181365
286,2399,9.225744e-05,2.689153734536376e-05,0.0014313182,0.012574383
1454,4192,0.00020162038,5.8179357438348234e-05,0.014492279,0.014354556
308,4193,7.538781e-05,2.344514723517932e-05,0.002247188,0.012629138
2130,4194,0.0003097946,0.0003570533008314669,0.017383143,0.015238029
2170,4195,0.00029715922,0.0001886565296445042,0.019083206,0.015325426
30,4196,4.836592e-05,7.278746488736942e-05,0.00017608912,0.012237734
1806,4197,0.00026750914,0.00011693255510181189,0.01312799,0.014749196
2708,4198,0.00036143092,0.0003260840894654393,0.023425594,0.01609354
474,4199,8.5952044e-05,1.956816731762956e-06,0.0048042736,0.012903293
1324,4200,0.00019260905,5.291252819006331e-05,0.011813043,0.0141257355
1942,4201,0.0002755921,0.00012697072816081345,0.016228044,0.014991787
756,4202,0.00013777342,6.970524555072188e-05,0.005577548,0.013264033
846,4203,0.00021547661,0.0006221596268005669,0.00668943,0.013407793
48,4204,4.0011404e-05,9.525056725578906e-07,0.00025168943,0.012260689
452,4205,9.3618044e-05,1.7255473721888848e-05,0.003390493,0.012835574
702,4206,0.00012649264,3.868626299663447e-05,0.0056278748,0.0132012395
1200,4207,0.00018648525,9.238093480234966e-05,0.009627726,0.013913008
718,3488,0.00011364316,2.6026059458672535e-06,0.0072950213,0.013265699
20,3489,3.4430956e-05,6.08044885552772e-08,8.656962e-05,0.012222785
2436,3490,0.00033998932,0.00044471732689999044,0.020255469,0.015702156
12,3492,3.260046e-05,1.380364988978755e-10,4.630767e-05,0.012211889
20,3493,3.538836e-05,1.994263243432215e-08,4.3302374e-05,0.012220963
