,nodes,buckets
0,pl_63579,0
1,pl_697532,0
2,pl_711595,0
3,pl_223890,0
4,pl_792319,0
5,pl_195798,0
6,pl_336955,0
7,pl_469612,0
8,pl_482833,0
9,pl_23566,0
10,pl_876355,0
11,pl_924036,0
12,pl_472898,0
13,pl_830761,0
14,pl_788388,0
15,pl_966810,0
16,pl_747221,0
17,pl_88611,0
18,pl_534417,0
19,pl_786934,0
20,pl_646851,0
21,pl_364459,0
22,pl_81973,0
23,pl_448528,0
24,pl_932251,0
25,pl_633916,0
26,pl_735764,0
27,pl_838273,0
28,pl_547216,0
29,pl_481110,0
30,pl_457858,0
31,pl_39939,0
32,pl_492983,0
33,pl_21395,0
34,pl_65955,0
35,pl_65401,0
36,pl_23942,0
37,pl_485008,0
38,pl_260222,0
39,pl_741825,0
40,pl_145995,0
41,pl_639383,0
42,pl_950660,0
43,pl_995740,0
44,pl_380685,0
45,pl_810918,0
46,pl_642238,0
47,pl_433253,0
48,pl_947573,0
49,pl_624929,0
50,pl_779303,0
51,pl_14448,0
52,pl_41337,0
53,pl_703464,0
54,pl_168794,0
55,pl_483809,0
56,pl_539131,0
57,pl_830694,0
58,pl_610488,0
59,pl_222394,0
60,pl_78719,0
61,pl_716735,0
62,pl_559552,0
63,pl_457676,0
64,pl_155556,0
65,pl_744269,0
66,pl_673551,0
67,pl_350329,0
68,pl_398427,0
69,pl_813139,0
70,pl_960276,0
71,pl_950279,0
72,pl_699158,0
73,pl_140440,0
74,pl_476453,0
75,pl_628508,0
76,pl_113007,0
77,pl_882127,0
78,pl_221377,0
79,pl_878322,0
80,pl_332247,0
81,pl_6932,0
82,pl_740390,0
83,pl_348370,0
84,pl_739027,0
85,pl_423145,0
86,pl_654889,0
87,pl_90844,0
88,pl_788990,0
89,pl_406722,0
90,pl_41954,0
91,pl_808939,0
92,pl_96959,0
93,pl_991101,0
94,pl_922112,0
95,pl_372466,0
96,pl_991107,0
97,pl_894472,0
98,pl_12302,0
99,pl_831571,0
100,pl_804256,0
101,pl_530102,0
102,pl_866878,0
103,pl_291447,0
104,pl_418168,0
105,pl_322068,0
106,pl_103933,0
107,pl_760869,0
108,pl_504524,0
109,pl_854503,0
110,pl_105060,0
111,pl_897982,0
112,pl_168959,0
113,pl_351981,0
114,pl_243630,0
115,pl_37198,0
116,pl_781490,0
117,pl_377571,0
118,pl_250430,0
119,pl_706933,0
120,pl_699549,0
121,pl_782396,0
122,pl_373420,1
123,pl_524041,0
124,pl_151642,0
125,pl_489914,0
126,pl_6116,0
127,pl_608847,0
128,pl_234363,0
129,pl_315192,0
130,pl_625864,0
131,pl_248889,0
132,pl_72658,0
133,pl_32277,0
134,pl_443542,0
135,pl_458749,0
136,pl_960089,0
137,pl_778024,0
138,pl_196214,0
139,pl_267330,0
140,pl_188704,0
141,pl_243450,0
142,pl_439221,0
143,pl_249758,0
144,pl_35786,0
145,pl_38999,0
146,pl_224606,0
147,pl_377531,0
148,pl_220937,0
149,pl_415737,0
150,pl_674905,0
151,pl_984566,0
152,pl_795207,0
153,pl_661969,0
154,pl_383302,0
155,pl_244471,0
156,pl_100161,0
157,pl_575057,0
158,pl_168333,0
159,pl_608211,0
160,pl_988137,0
161,pl_238813,0
162,pl_327377,0
163,pl_377445,0
164,pl_630912,0
165,pl_528450,0
166,pl_685194,0
167,pl_842952,0
168,pl_711533,0
169,pl_824233,0
170,pl_924304,0
171,pl_345258,0
172,pl_714607,0
173,pl_278055,0
174,pl_593939,0
175,pl_693626,0
176,pl_772255,0
177,pl_219913,0
178,pl_757295,0
